char,order,name,replacement,ontographe
#r#l’,0,LATIN SMALL LETTER L WITH STROKE ,ł,l 
Á,0,LATIN CAPITAL LETTER A WITH ACUTE,A,A
ê,0,LATIN SMALL LETTER E WITH CIRCUMFLEX,ẽ,e
í,0,LATIN SMALL LETTER I WITH ACUTE,i,i
ŧ,0,LATIN SMALL LETTER T WITH STROKE,ŧ,t
ẏ,0,LATIN SMALL LETTER Y WITH DOT ABOVE,y,y
ⸯ,,VERTICAL TILDE,̾,er
,,LATIN SMALL LETTER I WITH LATIN SMALL LETTER O ABOVE,iͦ,io
́,,COMBINING ACUTE ACCENT,́,́
̊,,COMBINING RING ABOVE,ͦ,o
̃,,COMBINING TILDE,̃,
̄,,COMBINING MACRON,̃,
᷑,,COMBINING UR ABOVE,᷑,ur
̾,,COMBINING VERTICAL TILDE,̾,er
͛,,COMBINING ZIGZAG ABOVE,̾,er
̅,,COMBINING OVERLINE,̃,
̉,,COMBINING HOOK ABOVE,̾,er
_,,LOW LINE,-,-
-,,HYPHEN-MINUS,-,-
–,,EN DASH,-,-
",",,COMMA,",",","
;,,SEMICOLON,;,;
:,,COLON,:,:
!,,EXCLAMATION MARK,,!
?,,QUESTION MARK,,?
.,,FULL STOP,.,.
·,,MIDDLE DOT,.,.
',,APOSTROPHE,','
’,,RIGHT SINGLE QUOTATION MARK,̾,re
"""",,QUOTATION MARK,,""""
“,,LEFT DOUBLE QUOTATION MARK,,""""
”,,RIGHT DOUBLE QUOTATION MARK,,""""
«,,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,,""""
»,,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,,""""
(,,LEFT PARENTHESIS,,(
),,RIGHT PARENTHESIS,,)
[,,LEFT SQUARE BRACKET,,[
],,RIGHT SQUARE BRACKET,,]
§,,SECTION SIGN,¶,§
¶,,PILCROW SIGN,¶,¶
⁋,,REVERSED PILCROW SIGN,¶,¶
*,,ASTERISK,*,*
/,,SOLIDUS,/,/
&,,AMPERSAND,&,&
⁊,,TIRONIAN SIGN ET,⁊,et
#,,NUMBER SIGN,,#
#r#[0-9],,All arabic digits,#r#[0-9],0
#r#[a-zA-Z],,All latin letters (maj and caps),#r#[a-zA-Z],
•,,BULLET,.,.
°,,DEGREE SIGN,ͦ,o
+,,PLUS SIGN,+,+
÷,,DIVISION SIGN,÷,est
<,,LESS-THAN SIGN,,<
=,,EQUALS SIGN,=,=
¬,,NOT SIGN,-,-
∻,,HOMOTHETIC,÷,est
⋅,,DOT OPERATOR,.,.
◌̀,,COMBINING GRAVE ACCENT,◌́,
◌̈,,COMBINING DIAERESIS,◌̈,
◌̧,,COMBINING CEDILLA,◌̧,¸
◌̣,,COMBINING DOT BELOW,,
◌ᷠ,,COMBINING LATIN SMALL LETTER N,ᷠ,n
◌ͮ,,COMBINING LATIN SMALL LETTER V,ͮ,v
$,,DOLLAR SIGN,,
⁹,,SUPERSCRIPT NINE,ꝰ,us
ͣ,,COMBINING LATIN SMALL LETTER A,ͣ,a
ᵃ,,MODIFIER LETTER SMALL A,ͣ,a
ᷓ,,COMBINING LATIN SMALL LETTER FLATTENED OPEN A ABOVE,ͣ,a
ɑ,,LATIN SMALL LETTER ALPHA,a,a
ͨ,,COMBINING LATIN SMALL LETTER C,ͨ,c
ḍ,,LATIN SMALL LETTER D WITH DOT BELOW,d,d
ꝺ,,LATIN SMALL LETTER INSULAR D,d,d
đ,,LATIN SMALL LETTER D WITH STROKE,đ,d
ͤ,,COMBINING LATIN SMALL LETTER E,ͤ,e
ᵉ,,MODIFIER LETTER SMALL E,ͤ,e
ﬀ,,LATIN SMALL LIGATURE FF,ff,ff
ﬂ,,LATIN SMALL LIGATURE FL,fl,fl
ħ,,LATIN SMALL LETTER H WITH STROKE,ħ,h
ͥ,,COMBINING LATIN SMALL LETTER I,ͥ,i
ⁱ,,SUPERSCRIPT LATIN SMALL LETTER I,ͥ,i
î,,LATIN SMALL LETTER I WITH CIRCUMFLEX,ĩ,i
ı,,LATIN SMALL LETTER DOTLESS I,i,i
ȷ,,LATIN SMALL LETTER DOTLESS J,j,j
ł,,LATIN SMALL LETTER L WITH STROKE, ł,l 
ͫ,,COMBINING LATIN SMALL LETTER M,ͫ,m
ͦ,,COMBINING LATIN SMALL LETTER O,ͦ,o
ᵒ,,MODIFIER LETTER SMALL O,ͦ,o
ô,,LATIN SMALL LETTER O WITH CIRCUMFLEX,õ,o
ꝑ,,LATIN SMALL LETTER P WITH STROKE THROUGH DESCENDER,ꝑ,p
Ꝑ,,LATIN CAPITAL LETTER P WITH STROKE THROUGH DESCENDER,ꝑ,p
ꝓ,,LATIN SMALL LETTER P WITH FLOURISH,ꝓ,p
Ꝓ,,LATIN CAPITAL LETTER P WITH FLOURISH,ꝓ,p
ꝙ,,LATIN SMALL LETTER Q WITH DIAGONAL STROKE,ꝙ,q
ͬ,,COMBINING LATIN SMALL LETTER R,ͬ,r
ᷣ,,COMBINING LATIN SMALL LETTER R ROTUNDA,ͬ,r
ꝛ,,LATIN SMALL LETTER R ROTUNDA,r,r
ɼ,,LATIN SMALL LETTER R WITH LONG LEG,r,r
ˢ,,MODIFIER LETTER SMALL S,ᷤ,s
ᷤ,,COMBINING LATIN SMALL LETTER S,ᷤᷤ,s
ſ,,LATIN SMALL LETTER LONG S,s,s
ẜ,,LATIN SMALL LETTER LONG S WITH DIAGONAL STROKE,ẜ,s
ͭ,,COMBINING LATIN SMALL LETTER T,ͭ,t
ͧ,,COMBINING LATIN SMALL LETTER U,ͧ,u
ũ,,LATIN SMALL LETTER U WITH TILDE,ũ,u
ỹ,,LATIN SMALL LETTER Y WITH TILDE,y,y
ʑ,,LATIN SMALL LETTER Z WITH CURL,z,z
ƺ,,LATIN SMALL LETTER EZH WITH TAIL,z,z
᷒,,COMBINING US ABOVE,ꝰ,us
ꝯ,,LATIN SMALL LETTER CON,ꝯ,con
ꝰ,,MODIFIER LETTER US,ꝰ,us
ˀ,,MODIFIER LETTER GLOTTAL STOP,,
α,,GREEK SMALL LETTER ALPHA,α,a
β,,GREEK SMALL LETTER BETA,β,b
δ,,GREEK SMALL LETTER DELTA,δ,d
ζ,,GREEK SMALL LETTER ZETA,ζ,z
ι,,GREEK SMALL LETTER IOTA,ι,i
κ,,GREEK SMALL LETTER KAPPA,κ,k
Λ,,GREEK CAPITAL LETTER LAMDA,Λ,L
τ,,GREEK SMALL LETTER TAU,τ,t
ք,,ARMENIAN SMALL LETTER KEH,ꝑ,p
,,LATIN SMALL LETTER N WITH MEDIUM-HIGH MACRON (ABOVE CHARACTER),ñ,n
,,LATIN SMALL LETTER P WITH MACRON,p̃,p
,,LATIN SMALL LETTER Q WITH MACRON,q̃,q
,,COMBINING HIGH MACRON WITH FIXED HEIGHT (PART-WIDTH),̃,
,,COMBINING HIGH MACRON WITH FIXED HEIGHT (PART-WIDTH),̃,
,,COMBINING LATIN SMALL LIGATURE AR,,ar
,,LATIN SMALL LETTER LONG S DESCENDING,s,s
,,LATIN SMALL LETTER S CLOSED FORM,s,s
,,LATIN ABBREVIATION SIGN SMALL ET WITH STROKE,⁊,et
,,PUNCTUS ELEVATUS,;,;
,,LATIN ABBREVIATION SIGN SPACING BASE-LINE US,ꝰ,us
,,LATIN ABBREVIATION SIGN CAPITAL ET WITH STROKE,⁊,ET
,,LATIN CAPITAL LETTER CLOSED E UNCIAL FORM,E,E
#r#\uFEFF,,ZERO WIDTH NO-BREAK SPACE,,
#r#\u200B,,ZERO WIDTH SPACE,,
,,WEIRD ZIG ZAG DIVIDING SIGN,÷,est
⁜,,DOTTED CROSS,⁜,
⟦,,MATHEMATICAL LEFT WHITE SQUARE BRACKET,⟦,
⟧,,MATHEMATICAL RIGHT WHITE SQUARE BRACKET,⟧,
